recipe_id,recipe_name,replaced_food_id,replaced_food_name,replaced_food_quatity,subsitude_food_id,substitude_food_name,substitude_food_quantity
"""569""","""Strawberry-Pork Salad""","""2710""",""" pork tenderloin """,56.875,"""4149""",""" cheese and bean burrito """,56.09999999999998
"""570""","""Italian Brunch Rice""","""3365""",""" sweet Italian sausage """,28.4375,"""4151""",""" cheese enchilada """,21.753048780487813
"""578""","""Hot Hoppin' John Salad""","""112""",""" bacon """,5.0,"""1102""",""" dried shrimp """,3.6
"""581""","""Mock Enchilada Casserole""","""1998""",""" lean ground beef """,37.916666666666664,"""4151""",""" cheese enchilada """,32.195121951219505
"""583""","""Ham and Bean Soup""","""3226""",""" smoked ham hock """,113.75,"""4151""",""" cheese enchilada """,108.29268292682924
"""586""","""Lima Beans and Ham""","""268""",""" boneless ham """,56.875,"""4152""",""" taco """,46.97368421052629
"""589""","""Mixed Bean Casserole""","""1734""",""" ham """,56.875,"""4151""",""" cheese enchilada """,62.95934959349593
"""591""","""Bean Soup Romana""","""166""",""" beef broth """,236.5,"""4090""",""" cond. cream of asparagus soup """,207.5
"""591""","""Bean Soup Romana""","""166""",""" beef broth """,236.5,"""4094""",""" cond. cheese soup """,177.85714285714286
"""591""","""Bean Soup Romana""","""166""",""" beef broth """,236.5,"""4113""",""" cond. cream of potato soup """,249.0
"""603""",""" Hearty Roast Beef, Pear and Pea Pod Salad ""","""2794""",""" roast beef """,72.5,"""4149""",""" cheese and bean burrito """,86.99999999999991
"""605""","""Tandoori Pork Saute""","""2005""",""" lean pork """,58.0,"""4149""",""" cheese and bean burrito """,59.99999999999981
"""615""","""Moroccan Egg Salad""","""789""",""" condensed chicken broth """,48.333333333333336,"""311""",""" bouillon cube """,39.99999999999999
"""615""","""Moroccan Egg Salad""","""789""",""" condensed chicken broth """,48.333333333333336,"""346""",""" broth or low-sodium bouillon """,39.99999999999999
"""615""","""Moroccan Egg Salad""","""789""",""" condensed chicken broth """,48.333333333333336,"""451""",""" canned cream of celery soup """,47.272727272727266
"""615""","""Moroccan Egg Salad""","""789""",""" condensed chicken broth """,48.333333333333336,"""4108""",""" cond. onion soup """,34.66666666666667
"""615""","""Moroccan Egg Salad""","""789""",""" condensed chicken broth """,48.333333333333336,"""4109""",""" cond. cream of onion soup """,43.33333333333333
"""615""","""Moroccan Egg Salad""","""789""",""" condensed chicken broth """,48.333333333333336,"""4119""",""" tomato bisque soup """,39.99999999999999
"""666""","""Saffron Risotto Primavera""","""1215""",""" fat-free chicken broth """,60.0,"""311""",""" bouillon cube """,57.692307692307686
"""666""","""Saffron Risotto Primavera""","""1215""",""" fat-free chicken broth """,60.0,"""346""",""" broth or low-sodium bouillon """,57.692307692307686
"""666""","""Saffron Risotto Primavera""","""1215""",""" fat-free chicken broth """,60.0,"""451""",""" canned cream of celery soup """,68.18181818181817
"""666""","""Saffron Risotto Primavera""","""1215""",""" fat-free chicken broth """,60.0,"""4108""",""" cond. onion soup """,50.0
"""666""","""Saffron Risotto Primavera""","""1215""",""" fat-free chicken broth """,60.0,"""4109""",""" cond. cream of onion soup """,62.49999999999999
"""666""","""Saffron Risotto Primavera""","""1215""",""" fat-free chicken broth """,60.0,"""4119""",""" tomato bisque soup """,57.692307692307686
"""704""","""Hazelnut Medley""","""638""",""" chicken broth """,60.0,"""311""",""" bouillon cube """,61.73076923076922
"""704""","""Hazelnut Medley""","""638""",""" chicken broth """,60.0,"""346""",""" broth or low-sodium bouillon """,61.73076923076922
"""704""","""Hazelnut Medley""","""638""",""" chicken broth """,60.0,"""451""",""" canned cream of celery soup """,72.95454545454544
"""704""","""Hazelnut Medley""","""638""",""" chicken broth """,60.0,"""4108""",""" cond. onion soup """,53.5
"""704""","""Hazelnut Medley""","""638""",""" chicken broth """,60.0,"""4109""",""" cond. cream of onion soup """,66.87499999999999
"""704""","""Hazelnut Medley""","""638""",""" chicken broth """,60.0,"""4119""",""" tomato bisque soup """,61.73076923076922
"""711""","""Sicilian Deep Dish Pizza""","""3008""",""" salami """,9.666666666666666,"""1102""",""" dried shrimp """,7.531944444444445
